CAR_NAME,BRAND,SUB_BRAND,MODAL_YEAR,AMOUNT,FUEL_TYPE,DIS_COVERED,EMI_AMOUNT,Operate
Maruti Swift,Maruti,Swift,2023,307000,PETROL,13994,"6,002",AUTOMATIC
Renault Kwid,Renault,Kwid,2015,872000,PETROL,44512,"16,598",MANUAL
Tata NEXON,Tata,NEXON,2018,646000,DIESEL,63671,"14,370",AUTOMATIC
Maruti Dzire,Maruti,Dzire,2017,1846000,DIESEL,121318,"35,137",MANUAL
Hyundai Creta,Hyundai,Creta,2022,298000,DIESEL,27509,"5,826",AUTOMATIC
Datsun Redi,Datsun,Redi,2018,432000,PETROL,38846,"11,376",MANUAL
Hyundai i20,Hyundai,i20,2014,376000,DIESEL,102555,"8,364",MANUAL
Hyundai Xcent,Hyundai,Xcent,2014,274000,PETROL,82065,"6,095",MANUAL
Hyundai Santro,Hyundai,Santro,2014,868000,PETROL,74647,"16,522",MANUAL
Renault Duster,Renault,Duster,2020,1056000,PETROL,41619,"20,100",MANUAL
Hyundai Creta,Hyundai,Creta,2019,625000,PETROL,36336,"12,219",MANUAL
Honda City,Honda,City,2016,388000,PETROL,58750,"7,585",MANUAL
Renault Kwid,Renault,Kwid,2019,1666000,PETROL,27220,"31,711",MANUAL
MG HECTOR,MG,HECTOR,2022,664000,PETROL,37636,"12,981",MANUAL
Maruti Baleno,Maruti,Baleno,2016,754000,PETROL,27306,"14,735",MANUAL
Hyundai GRAND,Hyundai,GRAND,2023,676000,PETROL,11028,"13,216",MANUAL
Hyundai GRAND,Hyundai,GRAND,2020,252000,PETROL,17285,"5,606",AUTOMATIC
Hyundai Santro,Hyundai,Santro,2014,757000,PETROL,69029,"19,935",MANUAL
Mahindra XUV500,Mahindra,XUV500,2014,797000,DIESEL,93087,"15,582",MANUAL
Maruti Vitara,Maruti,Vitara,2016,806000,DIESEL,58038,"15,341",MANUAL
Mahindra TUV300,Mahindra,TUV300,2017,517000,DIESEL,32940,"10,107",MANUAL
Maruti Ciaz,Maruti,Ciaz,2015,359000,PETROL,95738,"7,019",MANUAL
Maruti Wagon,Maruti,Wagon,2015,1086000,PETROL,77640,"20,671",MANUAL
Volkswagen Vento,Volkswagen,Vento,2020,1521000,PETROL,20510,"28,951",AUTOMATIC
Mahindra XUV500,Mahindra,XUV500,2018,482000,DIESEL,60820,"9,413",AUTOMATIC
Maruti Celerio,Maruti,Celerio,2018,515000,PETROL,39085,"11,460",MANUAL
Honda City,Honda,City,2014,352000,PETROL,74032,"6,874",MANUAL
Renault Kwid,Renault,Kwid,2017,728000,PETROL,32890,"14,233",AUTOMATIC
Maruti Swift,Maruti,Swift,2019,1211000,PETROL,25462,"23,045",MANUAL
Honda City,Honda,City,2022,1118000,PETROL,42212,"21,280",MANUAL
Hyundai Creta,Hyundai,Creta,2019,1364000,PETROL,48476,"25,962",MANUAL
Maruti Ertiga,Maruti,Ertiga,2023,332000,PETROL,11016,"7,385",AUTOMATIC
Maruti Wagon,Maruti,Wagon,2015,447000,PETROL,110669,"8,739",MANUAL
Hyundai Grand,Hyundai,Grand,2016,496000,PETROL,49460,"11,033",MANUAL
Hyundai Grand,Hyundai,Grand,2018,703000,PETROL,117675,"13,744",MANUAL
Tata TIGOR,Tata,TIGOR,2020,394000,PETROL,33984,"13,092",AUTOMATIC
